"0","0","0000-00-00","0000-00-00","0000-00-00","0","0","productCode","status","comments","0","0.00","0.00","origin"
"10100","1","0000-00-00","0000-00-00","0000-00-00","363","1216","S24_3969","Shipped",NULL,"49","35.29","1729.21","spain"
"10100","2","0000-00-00","0000-00-00","0000-00-00","363","1216","S18_2248","Shipped",NULL,"50","55.09","2754.50","spain"
"10100","3","0000-00-00","0000-00-00","0000-00-00","363","1216","S18_1749","Shipped",NULL,"30","136.00","4080.00","spain"
"10100","4","0000-00-00","0000-00-00","0000-00-00","363","1216","S18_4409","Shipped",NULL,"22","75.46","1660.12","spain"
"10101","1","0000-00-00","0000-00-00","0000-00-00","128","1504","S18_2795","Shipped","Check on availability.","26","167.06","4343.56","spain"
"10101","2","0000-00-00","0000-00-00","0000-00-00","128","1504","S24_2022","Shipped","Check on availability.","46","44.35","2040.10","spain"
"10101","3","0000-00-00","0000-00-00","0000-00-00","128","1504","S24_1937","Shipped","Check on availability.","45","32.53","1463.85","spain"
"10101","4","0000-00-00","0000-00-00","0000-00-00","128","1504","S18_2325","Shipped","Check on availability.","25","108.06","2701.50","spain"
"10102","1","0000-00-00","0000-00-00","0000-00-00","181","1286","S18_1367","Shipped",NULL,"41","43.13","1768.33","spain"
"10102","2","0000-00-00","0000-00-00","0000-00-00","181","1286","S18_1342","Shipped",NULL,"39","95.55","3726.45","spain"
"10103","1","0000-00-00","0000-00-00","0000-00-00","121","1504","S24_2300","Shipped",NULL,"36","107.34","3864.24","spain"
"10103","2","0000-00-00","0000-00-00","0000-00-00","121","1504","S18_2432","Shipped",NULL,"22","58.34","1283.48","spain"
"10103","3","0000-00-00","0000-00-00","0000-00-00","121","1504","S32_1268","Shipped",NULL,"31","92.46","2866.26","spain"
"10103","4","0000-00-00","0000-00-00","0000-00-00","121","1504","S10_4962","Shipped",NULL,"42","119.67","5026.14","spain"
"10103","5","0000-00-00","0000-00-00","0000-00-00","121","1504","S18_4600","Shipped",NULL,"36","98.07","3530.52","spain"
"10103","6","0000-00-00","0000-00-00","0000-00-00","121","1504","S700_2824","Shipped",NULL,"42","94.07","3950.94","spain"
"10103","7","0000-00-00","0000-00-00","0000-00-00","121","1504","S32_3522","Shipped",NULL,"45","63.35","2850.75","spain"
"10103","8","0000-00-00","0000-00-00","0000-00-00","121","1504","S12_1666","Shipped",NULL,"27","121.64","3284.28","spain"
"10103","9","0000-00-00","0000-00-00","0000-00-00","121","1504","S18_4668","Shipped",NULL,"41","40.75","1670.75","spain"
"10103","10","0000-00-00","0000-00-00","0000-00-00","121","1504","S18_1097","Shipped",NULL,"35","94.50","3307.50","spain"
"10103","11","0000-00-00","0000-00-00","0000-00-00","121","1504","S10_1949","Shipped",NULL,"26","214.30","5571.80","spain"
"10103","12","0000-00-00","0000-00-00","0000-00-00","121","1504","S18_2949","Shipped",NULL,"27","92.19","2489.13","spain"
"10103","13","0000-00-00","0000-00-00","0000-00-00","121","1504","S18_3136","Shipped",NULL,"25","86.92","2173.00","spain"
